sample	group	block	stage	Biological_ID	Description	Organ/Tissue	Age	Sex	Biological Replicate	RNA Fraction	Read Type	Stranded/Unstranded	Library Type	Library ID#	# of Mate Pairs	# of Single Reads	Ribosomal Depletion	Spike In Pool	Published/PMINS	
SRS001789	EE_450	polyA_earlyembronic	EE_450	N2_EE_50-450	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 450 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"18,540,513"	0	No	N/A	SRS266277	Y; 21177976
SRS178501	EE_480	polyA_earlyembronic	EE_480	N2_EE_50-480	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 480 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"17,846,952"	"2,558,006"	No	N/A	SRS266271	Y; 21177976
SRS266278	EE_510	polyA_earlyembronic	EE_510	N2_EE_50-510	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 510 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"15,833,131"	"3,337,176"	No	N/A	SRS266278	Y; 21177976
SRS266272	EE_540	polyA_earlyembronic	EE_540	N2_EE_50-540	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 540 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"18,360,363"	"2,552,015"	No	N/A	SRS266272	Y; 21177976
SRS266261	EE_570	polyA_earlyembronic	EE_570	N2_EE_50-570	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 570 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"17,506,528"	0	No	N/A	SRS266261	Y; 21177976
SRS266262	EE_600	polyA_earlyembronic	EE_600	N2_EE_50-600	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 600 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	"1X100,2X100"	Unstranded	N.D.	N/A	"14,880,656"	"1,816,771"	No	N/A	SRS266262	Y; 21177976
SRS266263	EE_630	polyA_earlyembronic	EE_630	N2_EE_50-630	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 630 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"16,992,196"	0	No	N/A	SRS266263	Y; 21177976
SRS266264	EE_660	polyA_earlyembronic	EE_660	N2_EE_50-660	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 660 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"15,100,347"	0	No	N/A	SRS266264	Y; 21177976
SRS266273	EE_690	polyA_earlyembronic	EE_690	N2_EE_50-690	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 690 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"12,533,518"	0	No	N/A	SRS266273	Y; 21177976
SRS266279	EE_720	polyA_earlyembronic	EE_720	N2_EE_50-720	"N2 embryonic time point data, polyA+ RNAseq  - make eggs, hatch in absence of food to L1 arrest, add food, wait 50 hours, harvest eggs, incubate 720 minutes"	Whole organism	EE	hermaphrodite	1	PolyA(+)	2X100	Unstranded	N.D.	N/A	"15,112,287"	0	No	N/A	SRS266279	Y; 21177976
0A	EMB_0	wholeRNA_earlyembryonic	EE_0	20120223_EMB-0																
0B	EMB_0	wholeRNA_earlyembryonic	EE_0	20120411_EMB-0																
30A	EMB_30	wholeRNA_earlyembryonic	EE_30	20120223_EMB-30																
30B	EMB_30	wholeRNA_earlyembryonic	EE_30	20120419_EMB-30																
60A	EMB_60	wholeRNA_earlyembryonic	EE_60	20120223_EMB-60																
60B	EMB_60	wholeRNA_earlyembryonic	EE_60	20120411_EMB-60																
90A	EMB_90	wholeRNA_earlyembryonic	EE_90	20120223_EMB-90																
90B	EMB_90	wholeRNA_earlyembryonic	EE_90	20120411_EMB-90																
90C	EMB_90	wholeRNA_earlyembryonic	EE_90	20120419_EMB-90																
120A	EMB_120	wholeRNA_earlyembryonic	EE_120	20120223_EMB-120																
120B	EMB_120	wholeRNA_earlyembryonic	EE_120	20120411_EMB-120																
120C	EMB_120	wholeRNA_earlyembryonic	EE_120	20120419_EMB-120																
150A	EMB_150	wholeRNA_earlyembryonic	EE_150	20120223_EMB-150																
150B	EMB_150	wholeRNA_earlyembryonic	EE_150	20120411_EMB-150																
150C	EMB_150	wholeRNA_earlyembryonic	EE_150	20120419_EMB-150																
180A	EMB_180	wholeRNA_earlyembryonic	EE_180	20120223_EMB-180																
180B	EMB_180	wholeRNA_earlyembryonic	EE_180	20120411_EMB-180																
180C	EMB_180	wholeRNA_earlyembryonic	EE_180	20120419_EMB-180																
210A	EMB_210	wholeRNA_earlyembryonic	EE_210	20120223_EMB-210																
240A	EMB_240	wholeRNA_earlyembryonic	EE_240	20120223_EMB-240																
240B	EMB_240	wholeRNA_earlyembryonic	EE_240	20120411_EMB-240																
240C	EMB_240	wholeRNA_earlyembryonic	EE_240	20120419_EMB-240																
270A	EMB_270	wholeRNA_earlyembryonic	EE_270	20120223_EMB-270																
270B	EMB_270	wholeRNA_earlyembryonic	EE_270	20120419_EMB-270																
300A	EMB_300	wholeRNA_earlyembryonic	EE_300	20120223_EMB-300																
300B	EMB_300	wholeRNA_earlyembryonic	EE_300	20120411_EMB-300																
300C	EMB_300	wholeRNA_earlyembryonic	EE_300	20120419_EMB-300																
330A	EMB_330	wholeRNA_earlyembryonic	EE_330	20120223_EMB-330																
330B	EMB_330	wholeRNA_earlyembryonic	EE_330	20120419_EMB-330																
360A	EMB_360	wholeRNA_earlyembryonic	EE_360	20120223_EMB-360																
360B	EMB_360	wholeRNA_earlyembryonic	EE_360	20120411_EMB-360																
360C	EMB_360	wholeRNA_earlyembryonic	EE_360	20120419_EMB-360																
390A	EMB_390	wholeRNA_earlyembryonic	EE_390	20120223_EMB-390																
420A	EMB_420	wholeRNA_earlyembryonic	EE_420	20120223_EMB-420																
420B	EMB_420	wholeRNA_earlyembryonic	EE_420	20120419_EMB-420																
450A	EMB_450	wholeRNA_earlyembryonic	EE_450	20120223_EMB-450																
450B	EMB_450	wholeRNA_earlyembryonic	EE_450	20120419_EMB-450																
480A	EMB_480	wholeRNA_earlyembryonic	EE_480	20120223_EMB-480																
510A	EMB_510	wholeRNA_earlyembryonic	EE_510	20120223_EMB-510																
540A	EMB_540	wholeRNA_earlyembryonic	EE_540	20120223_EMB-540																
570A	EMB_570	wholeRNA_earlyembryonic	EE_570	20120223_EMB-570																
600A	EMB_600	wholeRNA_earlyembryonic	EE_600	20120223_EMB-600																
600B	EMB_600	wholeRNA_earlyembryonic	EE_600	20120411_EMB-600																
