"","geneID","EE_028-20120223_EMB-0","EE_118-20120223_EMB-60","EE_118-20120223_EMB-90","EE_199-20120223_EMB-150","EE_378-20120223_EMB-300","EE_467-20120223_EMB-390","EE_574-20120223_EMB-480","EE_674-20120223_EMB-570","EE_674-20120223_EMB-600","EE_285-20120411_EMB-180","EE_199-20120419_EMB-120","EE_285-20120419_EMB-180","EE_378-20120419_EMB-270","EE_467-20120419_EMB-330","EE_574-20120419_EMB-420","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"16","WBGene00003521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nas-2","F56A4.1","Zinc metalloproteinase nas-2","Peptidase M12A, Peptidase, metallopeptidase, Metallopeptidase, catalytic domain superfamily","nas-2 | WBGene00003521",NA,"nas-2 | WBGene00003521",64.7059,"Cbn-nas-3 | WBGene00163977",64.7059,"Cre-nas-3.2 | WBGene00071266",66.1765
"17","WBGene00003663",0.104580139499448,0,0,0,0.0735113690478028,0,0.0640625127124049,0.143834953418331,0,0,0,0,0,0,0,"nhr-73","C27C7.4","Nuclear Hormone Receptor family","Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type, Nuclear hormone receptor-like domain superfamily","nhr-73 | WBGene00003663",NA,"nhr-73 | WBGene00003663",26.6871,"Cbn-nhr-251 | WBGene00162925",38.3436,"CRE18792 | WBGene00062097",45.7055
"18","WBGene00003766",0,0,0,0.0538747327341852,0,0,0.192187538137215,0.0719174767091656,0,0,0,0,0,0.333381525484962,0.175190609573098,"nlp-28","B0213.3","Neuropeptide-like protein 28 QWGYGGY-amide GYGGYGGY-amide GMYGGY-amide GMYGGW-amide [Source:UniProtKB/Swiss-Prot;Acc:O44665]","","nlp-28 | WBGene00003766",NA,"nlp-28 | WBGene00003766",NA,NA,NA,NA,NA
"19","WBGene00004141",0,0,0,0,0,0.0732767309667538,0,0.287669906836662,0.0716391187987209,0,0,0,0,0,0.0875953047865491,"pqn-57","R09F10.7","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein","","pqn-57 | WBGene00004141",NA,"pqn-57 | WBGene00004141",88.6243,"Cbn-pqn-57 | WBGene00148671",91.7989,"Cre-pqn-57.1 | WBGene00065483",89.9471
"20","WBGene00004158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437976523932745,"pqn-76","Y105C5A.3","Prion-like-(Q/N-rich)-domain-bearing protein","Protein of unknown function DUF1096","pqn-76 | WBGene00004158",NA,"pqn-76 | WBGene00004158",83.8806,"CBN22195 | WBGene00160920",83.8806,"CRE12827 | WBGene00065084",79.7015
"21","WBGene00004160",0,0,0,0,0.0735113690478028,0.146553461933508,0,0,0,0,0,0,0,0,0,"pqn-79","Y105C5A.6","Prion-like-(Q/N-rich)-domain-bearing protein","Protein of unknown function DUF1096","pqn-79 | WBGene00004160",NA,"pqn-79 | WBGene00004160",83.8806,"CBN22195 | WBGene00160920",83.8806,"CRE12827 | WBGene00065084",79.7015
"22","WBGene00004170",0,0.127615992249115,0,0,0.147022738095606,0.146553461933508,0.12812502542481,0,0,0,0,0,0,0.111127175161654,0.0875953047865491,"pqn-90","Y73F8A.8","Prion-like-(Q/N-rich)-domain-bearing protein","","pqn-90 | WBGene00004170",NA,"pqn-90 | WBGene00004170",80.9524,"CBN22195 | WBGene00160920",80.2381,"CRE12827 | WBGene00065084",75.7143
"23","WBGene00004171",0.104580139499448,0,0,0.10774946546837,0.367556845239014,0.0732767309667538,0,0.0719174767091656,0,0.106302686268882,0,0,0,0,0.0875953047865491,"pqn-91","Y73F8A.9","Prion-like-(Q/N-rich)-domain-bearing protein","","pqn-91 | WBGene00004171",NA,"pqn-91 | WBGene00004171",80.6683,"CBN22195 | WBGene00160920",79.7136,"CRE12827 | WBGene00065084",75.4177
"24","WBGene00004177",0,0,0,0,0,0,0.12812502542481,0.143834953418331,0,0,0,0,0,0.111127175161654,0.613167133505844,"srlf-37","ZK488.7","DUF148 domain-containing protein","SXP/RAL-2 family protein Ani s 5-like, cation-binding domain","srlf-37 | WBGene00004177",NA,"srlf-37 | WBGene00004177",71.0345,"CBN06303 | WBGene00145028",71.7241,"CRE10669 | WBGene00070712",68.2759
"25","WBGene00004351",0.052290069749724,0.0638079961245576,0.0561647433237531,0.10774946546837,0,0,0.0640625127124049,0,0,0.106302686268882,0.0940553271056166,0,0,0,0,"rgs-8.1","F52D2.2","RGS domain-containing protein","RGS domain, RGS, subdomain 1/3, RGS domain superfamily, RGS, subdomain 2","rgs-8.1 | WBGene00004351",NA,"rgs-8.1 | WBGene00004351",NA,NA,NA,NA,NA
"26","WBGene00004812",0,0,0,0,0,0.146553461933508,0.0640625127124049,0.143834953418331,0.214917356396163,0,0,0,0,0,0.175190609573098,"skr-6","Y37H2C.2","SKp1 Related (Ubiquitin ligase complex component)","S-phase kinase-associated protein 1-like, SKP1/BTB/POZ domain superfamily, SKP1 component, dimerisation, SKP1 component, POZ domain, S-phase kinase-associated protein 1, SKP1-like, dimerisation domain superfamily","skr-6 | WBGene00004812",NA,"skr-6 | WBGene00004812",NA,NA,NA,NA,NA
"27","WBGene00005005",0,0,0,0,0.147022738095606,0,0,0.215752430127497,0,0,0,0,0,0,0.613167133505844,"spp-20","K04A8.8","Saposin B-type domain-containing protein","Saposin B type domain, Saposin-like","spp-20 | WBGene00005005",NA,"spp-20 | WBGene00005005",NA,NA,NA,"Cre-spp-20 | WBGene00052179",55.6522
"28","WBGene00005137",0,0,0,0,0,0,0,0.0719174767091656,0,0,0,0,0,0.111127175161654,0,"srd-60","C13B7.3","Serpentine Receptor, class D (Delta)","7TM GPCR, serpentine receptor class d (Srd)","srd-60 | WBGene00005137",NA,"srd-60 | WBGene00005137",64.1176,"CBN07729 | WBGene00146454",57.9412,"CRE15895 | WBGene00061132",48.8235
"29","WBGene00005138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"srd-61","C01B4.5","Serpentine Receptor, class D (Delta)","7TM GPCR, serpentine receptor class d (Srd)","srd-61 | WBGene00005138",NA,"srd-61 | WBGene00005138",42.5076,"CBN09383 | WBGene00148108",32.7217,"CRE15894 | WBGene00061133",62.9969
"30","WBGene00005148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"srd-71","C13B7.4","Serpentine Receptor, class D (Delta)","7TM GPCR, serpentine receptor class d (Srd), ","srd-71 | WBGene00005148",NA,"srd-71 | WBGene00005148",73.9938,"Cbn-srd-72.1 | WBGene00142557",81.7337,"Cre-srd-72 | WBGene00061131",77.3994
"31","WBGene00005190",0,0,0,0.0538747327341852,0.147022738095606,0,0.320312563562024,0,0,0,0,0,0,0.111127175161654,0.350381219146196,"srg-33","F21F8.1","Serpentine receptor class gamma-33","7TM GPCR, serpentine receptor class g (Srg)","srg-33 | WBGene00005190",NA,"srg-33 | WBGene00005190",73.5202,NA,NA,"Cre-srg-33 | WBGene00053051",74.1433
"32","WBGene00005280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"srh-57","Y49F6A.2","Serpentine Receptor, class H","7TM GPCR, serpentine receptor class h (Srh)","srh-57 | WBGene00005280",NA,"srh-57 | WBGene00005280",NA,"Cbn-srh-56.1 | WBGene00147445",62.8125,"Cre-srh-56 | WBGene00058074",68.125
"33","WBGene00005435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"srh-227","C35D6.2","Serpentine Receptor, class H","7TM GPCR, serpentine receptor class h (Srh)","srh-227 | WBGene00005435",NA,"srh-227 | WBGene00005435",NA,NA,NA,"CRE19075 | WBGene00057754",44.9405
"34","WBGene00005436",0,0,0,0.0538747327341852,0,0,0,0,0,0,0,0,0,0,0,"srh-228","C35D6.1","Serpentine Receptor, class H","7TM GPCR, serpentine receptor class h (Srh)","srh-228 | WBGene00005436",NA,"srh-228 | WBGene00005436",NA,NA,NA,"CRE19075 | WBGene00057754",44.9405
"35","WBGene00005509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"srh-305","Y49F6A.3","Serpentine Receptor, class H","7TM GPCR, serpentine receptor class h (Srh)","srh-305 | WBGene00005509",NA,"srh-305 | WBGene00005509",NA,"Cbn-srh-56.1 | WBGene00147445",62.8125,"Cre-srh-56 | WBGene00058074",68.125
"36","WBGene00005525",0.209160278998896,0,0,0.10774946546837,0,0,0,0,0,0,0,0,0,0,0.175190609573098,"sri-13","M01G12.13","Serpentine Receptor, class I","7TM GPCR, serpentine chemoreceptor class i (Sri)","sri-13 | WBGene00005525",NA,"sri-13 | WBGene00005525",58.651,"Cbn-sri-15 | WBGene00151597",56.8915,"CRE28329 | WBGene00055988",55.7185
"37","WBGene00005526",0.104580139499448,0,0.112329486647506,0,0,0.146553461933508,0,0,0,0,0,0,0,0,0,"sri-14","M01G12.1","Serpentine Receptor, class I","7TM GPCR, serpentine chemoreceptor class i (Sri)","sri-14 | WBGene00005526",NA,"sri-14 | WBGene00005526",58.651,"Cbn-sri-15 | WBGene00151597",56.5982,"CRE28329 | WBGene00055988",55.4252
"38","WBGene00005882",0.156870209249172,0.127615992249115,0.112329486647506,0,0.0735113690478028,0,0,0,0.0716391187987209,0,0,0.168743306163974,0,0,0.0875953047865491,"srw-135","K12D9.11","Serpentine Receptor, class W","7TM GPCR, serpentine receptor class w (Srw)","srw-135 | WBGene00005882",NA,"srw-135 | WBGene00005882",NA,NA,NA,NA,NA
"39","WBGene00005922",0.052290069749724,0,0,0.10774946546837,0,0.0732767309667538,0,0,0.143278237597442,0,0,0,0,0,0,"srx-31","F41H8.4","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class x  (Srx)","srx-31 | WBGene00005922",NA,"srx-31 | WBGene00005922",49.6644,"CBN28540 | WBGene00190505",53.0201,"CRE09542 | WBGene00083629",40.9396
"40","WBGene00005923",0,0,0,0,0,0,0.320312563562024,0,0.143278237597442,0.106302686268882,0,0,0,0,0.350381219146196,"srx-32","R13D11.9","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class x  (Srx)","srx-32 | WBGene00005923",NA,"srx-32 | WBGene00005923",50,"CBN28540 | WBGene00190505",53.6913,"CRE09542 | WBGene00083629",41.2752
"41","WBGene00005954",0.104580139499448,0,0.0561647433237531,0,0.0735113690478028,0,0.192187538137215,0,0,0,0,0,0,0,0.525571828719294,"srx-63","K07C6.6","G_PROTEIN_RECEP_F1_2 domain-containing protein","GPCR, rhodopsin-like, 7TM, 7TM GPCR, serpentine receptor class x  (Srx)","srx-63 | WBGene00005954",NA,"srx-63 | WBGene00005954",54.6667,NA,NA,"Cre-srx-66 | WBGene00056698",55.6667
"42","WBGene00006038",0.052290069749724,0.0638079961245576,0,0,0,0,0.12812502542481,0.0719174767091656,0,0,0,0,0,0.111127175161654,0.175190609573098,"ssp-9","E03H12.10","Sperm-specific class P protein 9/11","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","ssp-9 | WBGene00006038",NA,"ssp-9 | WBGene00006038",NA,NA,NA,NA,NA
"43","WBGene00006049",0,0,0,0,0,0.0732767309667538,0,0,0.0716391187987209,0,0,0,0,0.111127175161654,0.437976523932745,"ssp-32","F32B6.7","Sperm-specific class P protein 32","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","ssp-32 | WBGene00006049",NA,"ssp-32 | WBGene00006049",60.7477,"CBN21532 | WBGene00160257",69.1589,"CRE26626 | WBGene00064108",73.8318
"44","WBGene00006073",0,0.127615992249115,0,0,0,0.146553461933508,0,0.143834953418331,0,0,0,0,0,0,0,"str-5","T23D5.12","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-5 | WBGene00006073",NA,"str-5 | WBGene00006073",69.4286,NA,NA,"CRE06078 | WBGene00064815",68.2857
"45","WBGene00006117",0.209160278998896,0,0,0,0.147022738095606,0,0.12812502542481,0.143834953418331,0,0,0,0,0.256872660130884,0,0,"str-52","C45H4.12","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-52 | WBGene00006117",NA,"str-52 | WBGene00006117",28.1407,"CBN29357 | WBGene00191322",17.0854,"CRE09048 | WBGene00063636",29.1457
"46","WBGene00006136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-76","C01B4.10","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-76 | WBGene00006136",NA,"str-76 | WBGene00006136",NA,NA,NA,NA,NA
"47","WBGene00006170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-119","C13B7.5","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-119 | WBGene00006170",NA,"str-119 | WBGene00006170",NA,"CBN28096 | WBGene00190061",33.5312,NA,NA
"48","WBGene00006171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-120","C13B7.2","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-120 | WBGene00006171",NA,"str-120 | WBGene00006171",NA,"CBN10716 | WBGene00149441",41.4201,"CRE15898 | WBGene00061129",68.3432
"49","WBGene00006200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-154","Y45G12C.12","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-154 | WBGene00006200",NA,"str-154 | WBGene00006200",33.2353,NA,NA,"CRE10749 | WBGene00076429",29.1176
"50","WBGene00006283",0,0.25523198449823,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-257","C01B4.1","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-257 | WBGene00006283",NA,"str-257 | WBGene00006283",54.8295,NA,NA,"CRE04877 | WBGene00055901",59.0909
"51","WBGene00006284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"str-258","C01B4.3","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)","str-258 | WBGene00006284",NA,"str-258 | WBGene00006284",56.25,NA,NA,"CRE04877 | WBGene00055901",60.7955
"52","WBGene00006549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tbx-30","Y59E9AR.3","Putative T-box protein 30/42","T-box transcription factor, p53-like transcription factor, DNA-binding domain superfamily, Transcription factor, T-box, conserved site, T-box superfamily, T-box transcription factor, DNA-binding domain","tbx-30 | WBGene00006549",NA,"tbx-30 | WBGene00006549",NA,NA,NA,"Cre-tbx-30 | WBGene00085738",27.5974
"53","WBGene00007075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC8.3","AC8.3","MULE domain-containing protein","","AC8.3 | WBGene00007075",NA,"AC8.3 | WBGene00007075",10.6952,NA,NA,"CRE30180 | WBGene00072410",33.1551
"54","WBGene00007076",0,0,0,0.0538747327341852,0,0,0.0640625127124049,0,0,0,0,0,0,0,0,"AC8.4","AC8.4","","","AC8.4 | WBGene00007076",NA,"AC8.4 | WBGene00007076",NA,NA,NA,NA,NA
"55","WBGene00007173",0.052290069749724,0,0,0.0538747327341852,0,0,0.25625005084962,0.287669906836662,0.143278237597442,0.106302686268882,0,0,0,0,0,"B0393.8","B0393.8","","","B0393.8 | WBGene00007173",NA,"B0393.8 | WBGene00007173",NA,NA,NA,NA,NA
"56","WBGene00007206",0,0,0,0,0,0,0.0640625127124049,0,0.143278237597442,0,0,0,0,0,0,"B0564.6","B0564.6","F-box domain-containing protein","Leucine-rich repeat, cysteine-containing subtype, Leucine-rich repeat domain superfamily","B0564.6 | WBGene00007206",NA,"B0564.6 | WBGene00007206",69.2671,NA,NA,"CRE24307 | WBGene00073589",70.922
"57","WBGene00007208",0,0,0,0,0,0,0.12812502542481,0,0.0716391187987209,0,0,0,0,0,0.0875953047865491,"B0564.9","B0564.9","F-box domain-containing protein","Leucine-rich repeat, cysteine-containing subtype, Leucine-rich repeat domain superfamily","B0564.9 | WBGene00007208",NA,"B0564.9 | WBGene00007208",69.2671,NA,NA,"CRE24307 | WBGene00073589",70.922
"58","WBGene00007259",0.052290069749724,0.0638079961245576,0,0,0,0,0.192187538137215,0.0719174767091656,0.143278237597442,0,0,0,0,0,0.350381219146196,"C02B4.3","C02B4.3","Phage_int_SAM_5 domain-containing protein","","C02B4.3 | WBGene00007259",NA,"C02B4.3 | WBGene00007259",NA,NA,NA,NA,NA
"59","WBGene00007439",0,0,0,0,0.0735113690478028,0,0,0.431504860254993,0.143278237597442,0,0,0,0.128436330065442,0,0,"C08E8.3","C08E8.3","","","C08E8.3 | WBGene00007439",NA,"C08E8.3 | WBGene00007439",76.9231,"CBN23831 | WBGene00162556",84.6154,"CRE23354 | WBGene00063344",78.2051
"60","WBGene00007441",0,0,0,0,0,0.0732767309667538,0,0.0719174767091656,0.214917356396163,0,0,0,0,0.222254350323308,0,"C08E8.5","C08E8.5","Elongation factor 1-alpha","","C08E8.5 | WBGene00007441",NA,"C08E8.5 | WBGene00007441",69.6429,"CBN20676 | WBGene00159401",67.8571,"CRE23530 | WBGene00083220",69.6429
"61","WBGene00007442",0,0,0,0,0,0,0.12812502542481,0.0719174767091656,0.0716391187987209,0,0,0,0,0,0,"C08E8.6","C08E8.6","","","C08E8.6 | WBGene00007442",NA,"C08E8.6 | WBGene00007442",62.7119,"CBN20676 | WBGene00159401",64.4068,"CRE23530 | WBGene00083220",57.6271
"62","WBGene00007459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875953047865491,"C08F11.12","C08F11.12","UPF0375 protein C08F11.12","Protein of unknown function DUF1505","C08F11.12 | WBGene00007459",NA,"C08F11.12 | WBGene00007459",NA,NA,NA,NA,NA
"63","WBGene00007535",0,0.127615992249115,0,0,0,0,0,0,0,0,0,0.0843716530819868,0,0,0.350381219146196,"ttr-19","C12D8.4","TransThyretin-Related family domain","Transthyretin-like, Transthyretin-like superfamily","ttr-19 | WBGene00007535",NA,"ttr-19 | WBGene00007535",69.2308,NA,NA,"Cre-ttr-19 | WBGene00059088",74.1259
"64","WBGene00007541",0.104580139499448,0,0,0,0,0.146553461933508,0.12812502542481,0,0,0,0,0,0,0,0.262785914359647,"fipr-4","C12D8.14","FIP (Fungus-Induced Protein) Related","","fipr-4 | WBGene00007541",NA,"fipr-4 | WBGene00007541",NA,NA,NA,NA,NA
"65","WBGene00007543",0.104580139499448,0,0,0,0.0735113690478028,0,0,0,0.286556475194883,0,0,0,0,0.111127175161654,0,"fipr-7","C12D8.16","FIP (Fungus-Induced Protein) Related","","fipr-7 | WBGene00007543",NA,"fipr-7 | WBGene00007543",NA,NA,NA,NA,NA
"66","WBGene00007544",0,0,0.0561647433237531,0.10774946546837,0.147022738095606,0,0,0,0,0,0,0,0,0.111127175161654,0,"fipr-6","C12D8.17","FIP (Fungus-Induced Protein) Related","","fipr-6 | WBGene00007544",NA,"fipr-6 | WBGene00007544",NA,NA,NA,NA,NA
"67","WBGene00007567",0,0,0,0,0.0735113690478028,0,0.12812502542481,0,0.0716391187987209,0,0,0,0.128436330065442,0,0.262785914359647,"C14A6.3","C14A6.3","Small hydrophobic protein","","C14A6.3 | WBGene00007567",NA,"C14A6.3 | WBGene00007567",NA,NA,NA,NA,NA
"68","WBGene00007569",0.052290069749724,0.127615992249115,0,0.10774946546837,0.0735113690478028,0,0.192187538137215,0,0,0,0,0,0,0,0.262785914359647,"C14A6.5","C14A6.5","FH2 domain-containing protein","","C14A6.5 | WBGene00007569",NA,"C14A6.5 | WBGene00007569",NA,NA,NA,NA,NA
"69","WBGene00007638",0,0,0,0,0.0735113690478028,0,0,0,0,0,0,0,0,0,0.0875953047865491,"C17D12.3","C17D12.3","","Peptide N glycanase, PAW domain, Galactose-binding-like domain superfamily, PAW domain superfamily","C17D12.3 | WBGene00007638",NA,"C17D12.3 | WBGene00007638",NA,NA,NA,NA,NA
"70","WBGene00007673",0,0,0,0,0.0735113690478028,0.146553461933508,0,0,0,0,0,0,0,0,0.262785914359647,"C18D4.3","C18D4.3","SRCR domain-containing protein","","C18D4.3 | WBGene00007673",NA,"C18D4.3 | WBGene00007673",NA,"CBN06180 | WBGene00144905",34.9594,"CRE19019 | WBGene00057828",32.5203
"71","WBGene00007682",0.104580139499448,0,0,0,0,0.0732767309667538,0.12812502542481,0.143834953418331,0.0716391187987209,0,0.0940553271056166,0,0,0,0.0875953047865491,"C18D11.6","C18D11.6","Glycine rich superfamily member","","C18D11.6 | WBGene00007682",NA,"C18D11.6 | WBGene00007682",NA,NA,NA,"CRE25745 | WBGene00083975",55.914
"72","WBGene00007700",0,0.127615992249115,0,0,0,0.146553461933508,0,0,0,0,0,0,0,0,0,"C24H11.2","C24H11.2","Serine/threonine-protein phosphatase","Calcineurin-like phosphoesterase domain, ApaH type, Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase, Metallo-dependent phosphatase-like","C24H11.2 | WBGene00007700",NA,"C24H11.2 | WBGene00007700",73.9583,"CBN31023 | WBGene00192988",37.5,"CRE23915 | WBGene00062352",73.1771
"73","WBGene00007770",0.104580139499448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875953047865491,"nhr-259","C27C7.8","NR LBD domain-containing protein","Nuclear hormone receptor, ligand-binding domain, Nuclear hormone receptor-like domain superfamily","nhr-259 | WBGene00007770",NA,"nhr-259 | WBGene00007770",NA,NA,NA,NA,NA
"74","WBGene00007852",0,0,0.112329486647506,0,0,0.0732767309667538,0,0.0719174767091656,0,0,0,0,0,0.111127175161654,0.0875953047865491,"C31G12.3","C31G12.3","Transposase","","C31G12.3 | WBGene00007852",NA,"C31G12.3 | WBGene00007852",NA,NA,NA,NA,NA
"75","WBGene00007871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C32H11.8","C32H11.8","DUF148 domain-containing protein","SXP/RAL-2 family protein Ani s 5-like, cation-binding domain","C32H11.8 | WBGene00007871",NA,"C32H11.8 | WBGene00007871",42.0513,NA,NA,"CRE11004 | WBGene00080441",42.5641
