"","geneID","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"11","WBGene00051272",0,0,0,0,0,0,"Cre-set-12.3","CRE00036","SET domain-containing protein","SET domain, Post-SET domain, SET domain superfamily","met-1 | WBGene00016603",26.9103,"CBG13777 | WBGene00034486",21.5947,"Cbn-set-12.1 | WBGene00152941",24.2525,"CJA42547 | WBGene00218395",15.6146
"12","WBGene00051273",0.0922544377947908,0,0,0,0,0,"Cre-set-12.1","CRE00037","Histone-lysine N-methyltransferase ash1","SET domain, Post-SET domain, SET domain superfamily","met-1 | WBGene00016603",26.0736,"CBG13777 | WBGene00034486",21.7791,"Cbn-set-12.1 | WBGene00152941",22.3926,"CJA42547 | WBGene00218395",13.1902
"13","WBGene00051274",0.553526626768745,0,0,0,0.0165469752908881,0,"CRE00038","CRE00038","SET domain-containing protein","SET domain, SET domain superfamily","met-1 | WBGene00016603",31.7181,"Cbr-set-12 | WBGene00036619",37.8855,"Cbn-set-12.1 | WBGene00152941",30.3965,"CJA42547 | WBGene00218395",19.3833
"14","WBGene00051286",0.0922544377947908,0,0,0,0,0,"CRE00043","CRE00043","VWFA domain-containing protein","von Willebrand factor A-like domain superfamily","F27D9.13 | WBGene00270320",78.5714,"CBG30822 | WBGene00270786",81.1429,"CBN23490 | WBGene00162215",83.4286,"CJA08973 | WBGene00128178",50.5714
"15","WBGene00077843",0,0,0.0875099206277844,0,0.200569397465311,0.33053435597257,"CRE00069","CRE00069","Neur_chan_memb domain-containing protein","","C10A4.7 | WBGene00015668",34.3066,"CBG11046 | WBGene00032240",32.8467,"CBN01194 | WBGene00139919",42.3358,"CJA10644 | WBGene00129848",23.3577
"16","WBGene00051359",0,0,0.0875099206277844,0,0.200569397465311,0.472191937103671,"Cre-grd-7","CRE00080","","Ground-like domain","grd-7 | WBGene00001696",85.7895,"Cbr-grd-7 | WBGene00032219",80.7895,"Cbn-grd-7 | WBGene00148608",81.0526,"Cjp-grd-7 | WBGene00133466",63.1579
"17","WBGene00077889",0,0,0,0,0,0,"CRE00086","CRE00086","Secreted protein","",NA,NA,NA,NA,NA,NA,NA,NA
"18","WBGene00077872",0,0,0,0,0.0501423493663277,0,"CRE00087","CRE00087","","",NA,NA,NA,NA,NA,NA,NA,NA
"19","WBGene00077809",0,0,0,0,0,0,"CRE00088","CRE00088","Remorin","",NA,NA,NA,NA,NA,NA,NA,NA
"20","WBGene00077791",0,0,0,0,0,0,"CRE00089","CRE00089","ATP-dependent RNA helicase SrmB","",NA,NA,NA,NA,NA,NA,NA,NA
"21","WBGene00077919",0,0,0,0,0,0,"CRE00090","CRE00090","Coiled-coil domain-containing protein 72 homolog","",NA,NA,NA,NA,NA,NA,NA,NA
"22","WBGene00077808",0,0,0,0,0,0,"CRE00091","CRE00091","GST N-terminal domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"23","WBGene00077907",0,0,0.0437549603138922,0,0,0,"CRE00101","CRE00101","ATP synthase protein I","",NA,NA,"CBG27777 | WBGene00089191",40.9091,"CBN04302 | WBGene00143027",51.5152,NA,NA
"24","WBGene00077831",0,0,0,0,0,0,"CRE00102","CRE00102","","",NA,NA,NA,NA,NA,NA,NA,NA
"25","WBGene00051412",0,0,0,0,0,0.661068711945139,"CRE00117","CRE00117","Amino acid transporter","",NA,NA,"CBG10922 | WBGene00032166",49.635,"CBN18031 | WBGene00156756",57.6642,"CJA07092 | WBGene00126296",35.7664
"26","WBGene00051411",0.0230636094486977,0,0.0437549603138922,0,0.0501423493663277,0.0472191937103671,"CRE00118","CRE00118","Cation diffusion facilitator family transporter","Cation efflux protein, Cation efflux transmembrane domain superfamily","F41C6.7 | WBGene00018280",77.5974,"CBG10923 | WBGene00032167",75,"CBN20218 | WBGene00158943",67.2078,"CJA12347 | WBGene00131551",70.4545
"27","WBGene00051414",0,0,0,0,0,0.519411130814038,"CRE00119","CRE00119","Amino acid transporter","",NA,NA,"CBG10922 | WBGene00032166",48.855,"CBN18031 | WBGene00156756",57.2519,"CJA07092 | WBGene00126296",38.9313
"28","WBGene00077861",0.0922544377947908,0,0.350039682511138,0,0.100284698732655,0.0944383874207342,"CRE00120","CRE00120","Bestrophin homolog","",NA,NA,NA,NA,NA,NA,NA,NA
"29","WBGene00051419",0,0,0.175019841255569,0,0,0,"Cre-odr-10","CRE00126","CRE-ODR-10 protein; ODR10","7TM GPCR, serpentine receptor class r (Str)","odr-10 | WBGene00003856",88.0117,"Cbr-odr-10 | WBGene00032158",82.7485,"Cbn-odr-10 | WBGene00163795",88.5965,NA,NA
"30","WBGene00051420",0,0,0,0,0,0,"CRE00127","CRE00127","Integrase catalytic domain-containing protein","Integrase, catalytic core, Ribonuclease H-like superfamily, Ribonuclease H superfamily, Domain of unknown function DUF5641",NA,NA,NA,NA,NA,NA,NA,NA
"31","WBGene00077799",0,0,0,0,0,0,"CRE00134","CRE00134","Transposase","",NA,NA,NA,NA,NA,NA,"CJA42730 | WBGene00218578",0
"32","WBGene00051446",0,0,0.0875099206277844,0,0.100284698732655,0.472191937103671,"Cre-smf-2","CRE00142","CRE-SMF-2 protein","NRAMP family","smf-2 | WBGene00004877",77.0197,"Cbr-smf-2 | WBGene00032133",77.7379,"Cbn-smf-2 | WBGene00146308",77.1993,"Cjp-smf-2 | WBGene00135120",73.2495
"33","WBGene00051455",0,0,0.175019841255569,0,0,0.141657581131101,"CRE00145","CRE00145","","",NA,NA,NA,NA,NA,NA,NA,NA
"34","WBGene00077892",0,0,0,0,0,0,"CRE00147","CRE00147","Zf-AD domain-containing protein","",NA,NA,NA,NA,"CBN02707 | WBGene00141432",40.4255,NA,NA
"35","WBGene00077873",0,0,0,0,0,0,"CRE00148","CRE00148","ATP-dependent DNA helicase","DNA helicase Pif1-like, P-loop containing nucleoside triphosphate hydrolase",NA,NA,NA,NA,NA,NA,NA,NA
"36","WBGene00051503",0.276763313384372,0,0,0,0,0,"Cre-grl-6","CRE00166","CRE-GRL-6 protein","Ground-like domain",NA,NA,NA,NA,NA,NA,"Cjp-grl-6 | WBGene00134259",78.0083
"37","WBGene00051505",0.0922544377947908,0,0.0875099206277844,0,0,0.0944383874207342,"CRE00169","CRE00169","Gustatory receptor","","K10C2.2 | WBGene00019618",75.9259,"CBG05063 | WBGene00027611",79.1667,"CBN18200 | WBGene00156925",41.2037,NA,NA
"38","WBGene00051523",0,0,0.918854166591737,0,0,0,"CRE00176","CRE00176","Type I site-specific deoxyribonuclease","","C03B1.9 | WBGene00015379",36.0577,"CBG05045 | WBGene00027598",29.3269,"CBN18458 | WBGene00157183",31.25,NA,NA
"39","WBGene00077917",0,0,0.131264880941677,0,0,0,"CRE00184","CRE00184","Transposase","",NA,NA,NA,NA,NA,NA,NA,NA
"40","WBGene00051603",0,0,0.350039682511138,0,0,0.566630324524405,"CRE00209","CRE00209","Reverse transcriptase","","Y23B4A.1 | WBGene00021267",66.129,"CBG14779 | WBGene00035174",59.6774,"CBN05938 | WBGene00144663",45.9677,NA,NA
"41","WBGene00051634",0,0,0,0,0,0,"CRE00222","CRE00222","Ovule protein","",NA,NA,NA,NA,NA,NA,NA,NA
"42","WBGene00051662",0,0,0.39379464282503,0,0,0.424972743393304,"CRE00235","CRE00235","UPF0057-domain-containing protein","Proteolipid membrane potential modulator","T23F2.3 | WBGene00020736",80.7018,"CBG17083 | WBGene00036840",71.9298,NA,NA,NA,NA
"43","WBGene00051674",0,0,0,0,0,0,"CRE00241","CRE00241","HA domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"44","WBGene00077841",0.0230636094486977,0,0.0875099206277844,0,0.100284698732655,0.0708287905655506,"CRE00245","CRE00245","FTH domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"45","WBGene00051685",0,0,0,0,0,0.0944383874207342,"CRE00248","CRE00248","","",NA,NA,NA,NA,NA,NA,NA,NA
"46","WBGene00051758",0,0,0,0,0.100284698732655,0.0944383874207342,"CRE00274","CRE00274","","",NA,NA,NA,NA,NA,NA,NA,NA
"47","WBGene00077904",0,0,0,0,0,0.849945486786608,"CRE00290","CRE00290","RNA-directed DNA methylation 4","",NA,NA,NA,NA,NA,NA,NA,NA
"48","WBGene00077832",0,0,0.131264880941677,0,0.0501423493663277,0,"CRE00300","CRE00300","","",NA,NA,NA,NA,NA,NA,NA,NA
"49","WBGene00051816",0,0,0.262529761883353,0,0,0,"CRE00308","CRE00308","","Protein quiver, Snake toxin-like superfamily","C07A12.18 | WBGene00206364",72.9167,"CBG30741 | WBGene00271359",78.4722,NA,NA,NA,NA
"50","WBGene00077821",0,0,0,0,0,0.0944383874207342,"CRE00319","CRE00319","Bestrophin homolog","","R160.2 | WBGene00020119",51.8987,NA,NA,NA,NA,NA,NA
"51","WBGene00051842",0,0,0.0875099206277844,0,0,0.188876774841468,"CRE00321","CRE00321","Small integral membrane protein 24","",NA,NA,NA,NA,NA,NA,NA,NA
"52","WBGene00051843",0,0,0.262529761883353,0,0,0.236095968551835,"CRE00322","CRE00322","Col_cuticle_N domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"53","WBGene00077900",0,0,0,0,0,0,"CRE00324","CRE00324","","",NA,NA,NA,NA,NA,NA,NA,NA
"54","WBGene00077852",0,0,0,0,0,0,"CRE00325","CRE00325","Secreted protein","",NA,NA,NA,NA,NA,NA,NA,NA
"55","WBGene00077795",0,0,0,0,0.100284698732655,0,"CRE00327","CRE00327","","","F14H12.8 | WBGene00017475",37.8238,"CBG14404 | WBGene00034920",36.7876,"CBN02729 | WBGene00141454",32.6425,"CJA13326 | WBGene00132530",23.3161
"56","WBGene00051845",0,0,0,0,0,0.519411130814038,"CRE00328","CRE00328","DUF3592 domain-containing protein","","F14H12.7 | WBGene00017474",41.8367,"CBG14403 | WBGene00034919",45.9184,NA,NA,"CJA01990 | WBGene00121194",28.5714
"57","WBGene00077820",0,0,0.616069841219603,0,0.137891460757401,0.141657581131101,"CRE00389","CRE00389","SPK domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"58","WBGene00051959",0,0,0.131264880941677,0,0,0,"CRE00390","CRE00390","HEPN_Toprim_N domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"59","WBGene00077842",0,0,0.193396924587404,0,0.112820286074237,0.0155823339244211,"CRE00391","CRE00391","Transcriptional regulator","",NA,NA,NA,NA,NA,NA,NA,NA
"60","WBGene00051962",0.0922544377947908,0,0.0875099206277844,0,0,0,"CRE00392","CRE00392","Mediator of RNA polymerase II transcription subunit 7","",NA,NA,NA,NA,NA,NA,NA,NA
"61","WBGene00052008",0.0922544377947908,0,0.0875099206277844,0,0,0.0944383874207342,"CRE00413","CRE00413","CUT domain-containing protein","","F11D5.6 | WBGene00017383",30.7018,"CBG14187 | WBGene00034764",53.5088,NA,NA,NA,NA
"62","WBGene00052063",0.461272188973954,0,0.175019841255569,0,0,0,"CRE00449","CRE00449","DUF4477 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"63","WBGene00077800",0.0691908283460931,0,0.0437549603138922,0,0,0,"CRE00451","CRE00451","","",NA,NA,NA,NA,NA,NA,NA,NA
"64","WBGene00077884",0,0,0,0,0.100284698732655,0,"CRE00473","CRE00473","Lipoprotein","",NA,NA,NA,NA,NA,NA,NA,NA
"65","WBGene00052106",0,0,0.0437549603138922,0,0,0,"CRE00474","CRE00474","PLC-beta_C domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"66","WBGene00077901",0,0,0,0,0,0.80272629307624,"CRE00478","CRE00478","LAGLIDADG_2 domain-containing protein","",NA,NA,"CBG27841 | WBGene00089255",26.9231,NA,NA,NA,NA
"67","WBGene00051218",0.276763313384372,0,0.262529761883353,0,0,0,"Cre-xol-1.2","CRE00481","CRE-XOL-1 protein","Ribosomal protein S5 domain 2-type fold, subgroup, Switch protein XOL-1, N-terminal, Ribosomal protein S5 domain 2-type fold, GHMP kinase, C-terminal domain superfamily","xol-1 | WBGene00006962",20.7447,"Cbr-xol-1 | WBGene00036693",19.9468,NA,NA,"Cjp-xol-1 | WBGene00133508",15.6915
"68","WBGene00051266",0.184508875589582,0,0.262529761883353,0,0,0,"CRE00504","CRE00504","Transmembrane protein","Epithelial sodium channel",NA,NA,NA,NA,"CBN04700 | WBGene00143425",52.381,NA,NA
"69","WBGene00051314",0,0,0.0875099206277844,0,0,0,"CRE00525","CRE00525","Serpentine receptor class gamma","7TM GPCR, serpentine receptor class g (Srg)",NA,NA,"Cbr-srg-38 | WBGene00023652",31.0502,NA,NA,NA,NA
"70","WBGene00051341",0,0,0.131264880941677,0,0,0.661068711945139,"CRE00541","CRE00541","","",NA,NA,NA,NA,NA,NA,NA,NA
"71","WBGene00051342",0,0,0,0,0,0,"CRE00542","CRE00542","","",NA,NA,NA,NA,NA,NA,NA,NA
"72","WBGene00077896",0,0,0,0,0.175498222782147,0,"CRE00543","CRE00543","INCENP_ARK-bind domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"73","WBGene00051367",0.322890532281768,0,0,0,0,0,"CRE00556","CRE00556","Lig_chan-Glu_bd domain-containing protein","Solute-binding protein  family 3/N-terminal domain of MltF, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain, Uncharacterized protein T25E4.2-like","ZK867.2 | WBGene00022829",62.9977,"CBG10995 | WBGene00032211",76.815,"CBN10757 | WBGene00149482",50.1171,"CJA14935 | WBGene00134139",47.541
"74","WBGene00077846",0.138381656692186,0,0.0437549603138922,0,0,0.0944383874207342,"CRE00560","CRE00560","","",NA,NA,NA,NA,NA,NA,NA,NA
"75","WBGene00077796",0.0922544377947908,0,0,0,0,0,"CRE00561","CRE00561","","",NA,NA,NA,NA,NA,NA,NA,NA
"76","WBGene00051381",0.0922544377947908,0,0.656324404708383,0,0,0.0944383874207342,"CRE00567","CRE00567","","","C36B7.3 | WBGene00016466",30.2752,"CBG10972 | WBGene00032195",30.2752,"CBN04768 | WBGene00143493",33.0275,NA,NA
"77","WBGene00077908",0,0,0,0,0,0,"CRE00581","CRE00581","Integrase","",NA,NA,NA,NA,NA,NA,"CJA33575 | WBGene00209422",20.4819
"78","WBGene00077903",0,0,0.0875099206277844,0,0.100284698732655,0,"CRE00582","CRE00582","7TM_GPCR_Srx domain-containing protein","7TM GPCR, serpentine receptor class x  (Srx)",NA,NA,"CBG10914 | WBGene00032160",56.9079,NA,NA,NA,NA
"79","WBGene00077879",0.0461272188973954,0,0.153142361098623,0,0.0250711746831639,0.0236095968551835,"CRE00591","CRE00591","","",NA,NA,NA,NA,NA,NA,NA,NA
"80","WBGene00077909",0,0,0,0,0,0,"CRE00605","CRE00605","","",NA,NA,NA,NA,NA,NA,NA,NA
"81","WBGene00051487",0.0922544377947908,0,0.612569444394491,0,0,0.283315162262202,"Cre-glr-8","CRE00617","CRE-GLR-8 protein","Ionotropic glutamate receptor, C-terminal, Ionotropic glutamate receptor, L-glutamate and glycine-binding domain","glr-8 | WBGene00001619",82.807,"Cbr-glr-8 | WBGene00027625",88.7719,"Cbn-glr-8 | WBGene00142369",90.5263,"Cjp-glr-8 | WBGene00130800",70.8772
"82","WBGene00051493",0,0,0.262529761883353,0,0.100284698732655,0.33053435597257,"CRE00618","CRE00618","S5A_REDUCTASE domain-containing protein","3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",NA,NA,"CBG27764 | WBGene00089178",23.5537,"CBN06109 | WBGene00144834",28.9256,NA,NA
"83","WBGene00051494",0,0,0,0.495793878097831,0.200569397465311,0.118047984275918,"CRE00619","CRE00619","sarcosine oxidasee (formaldehyde-forming)","3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal, FAD/NAD(P)-binding domain superfamily, MTOX family",NA,NA,"CBG27764 | WBGene00089178",14.6919,"CBN06109 | WBGene00144834",17.5355,NA,NA
"84","WBGene00051499",0.369017751179163,0,0,0,0,0.566630324524405,"CRE00622","CRE00622","NR LBD domain-containing protein","",NA,NA,"CBG27763 | WBGene00089177",27.381,"CBN14850 | WBGene00153575",28.9683,NA,NA
"85","WBGene00051517",0.0922544377947908,0,0.0437549603138922,0,0.401138794930622,0.377753549682937,"CRE00629","CRE00629","Glycosyltransferase","","C03B1.1 | WBGene00015372",29.9363,NA,NA,"CBN17160 | WBGene00155885",39.8089,NA,NA
"86","WBGene00077850",0,0,0.306284722197246,0,0.100284698732655,0.141657581131101,"CRE00636","CRE00636","Ovule protein","",NA,NA,NA,NA,NA,NA,NA,NA
"87","WBGene00051557",0,0,0.0875099206277844,0,0,0.0944383874207342,"CRE00657","CRE00657","Sushi domain-containing protein","Protein of unknown function DUF282, Caenorhabditis species","T13C5.10 | WBGene00206360",68.5083,"CBG31006 | WBGene00271677",67.9558,"CBN21802 | WBGene00160527",69.6133,NA,NA
"88","WBGene00051558",0,0,0.437549603138922,0,0,0,"CRE00658","CRE00658","DUF281 domain-containing protein","Protein of unknown function DUF282, Caenorhabditis species",NA,NA,"CBG31005 | WBGene00271671",63.6364,NA,NA,NA,NA
"89","WBGene00051587",0,0,0,0,0.100284698732655,0.188876774841468,"CRE00676","CRE00676","","",NA,NA,NA,NA,NA,NA,NA,NA
"90","WBGene00051637",0,0,0,0,0,0,"CRE00701","CRE00701","Exocyst subunit Exo70 family protein","","W01C8.1 | WBGene00020918",50.8333,"CBG14732 | WBGene00035141",53.3333,"CBN12971 | WBGene00151696",45,NA,NA
"91","WBGene00051641",0,0,0,0,0.300854096197966,0,"CRE00703","CRE00703","Secreted protein","",NA,NA,NA,NA,NA,NA,NA,NA
"92","WBGene00077871",0.0922544377947908,0,0.525059523766707,0,0,0.0472191937103671,"CRE00711","CRE00711","","",NA,NA,NA,NA,NA,NA,"CJA15645 | WBGene00134849",92.1348
"93","WBGene00051655",0.0461272188973954,0,0.700079365022276,0,0,0,"CRE00712","CRE00712","","",NA,NA,NA,NA,NA,NA,NA,NA
"94","WBGene00051656",0.0461272188973954,0,0.568814484080599,0,0.0501423493663277,0.141657581131101,"CRE00713","CRE00713","Myelin basic protein","","C38C5.1 | WBGene00016518",89.3401,NA,NA,NA,NA,"CJA12555 | WBGene00131759",62.9442
"95","WBGene00051657",0,0,0.262529761883353,0,0.250711746831639,0.377753549682937,"CRE00716","CRE00716","DUF3707 domain-containing protein","","C54G7.1 | WBGene00016933",89.272,"CBG14803 | WBGene00035195",89.6552,"CBN04141 | WBGene00142866",93.4866,NA,NA
"96","WBGene00051672",0,0,0.175019841255569,0,0.200569397465311,0,"CRE00722","CRE00722","ShKT domain-containing protein","","C25F6.8 | WBGene00044569",72.1239,"CBG14685 | WBGene00035107",76.5487,"CBN04540 | WBGene00143265",49.115,NA,NA
"97","WBGene00051679",0,0,0.175019841255569,0,0,0,"CRE00726","CRE00726","DUF4263 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"98","WBGene00051720",0,0,0,0,0.200569397465311,0,"Cre-sru-48","CRE00755","CRE-SRU-48 protein","7TM GPCR, serpentine receptor class u (Sru)","sru-48 | WBGene00005711",33.9286,"Cbr-sru-48 | WBGene00035062",33.3333,"Cbn-sru-48 | WBGene00162359",34.2262,"Cjp-sru-48 | WBGene00121639",13.6905
"99","WBGene00051725",0.231558638864925,0,0,0,0,0,"CRE00758","CRE00758","","",NA,NA,NA,NA,NA,NA,"CJA32980 | WBGene00208827",56.9767
"100","WBGene00051752",0,0,0,0,0,0,"CRE00773","CRE00773","Post-GPI attachment to proteins factor 2","",NA,NA,NA,NA,NA,NA,NA,NA
"101","WBGene00051824",0,0,0,0,0,0.566630324524405,"CRE00812","CRE00812","","",NA,NA,"CBG31457 | WBGene00303417",44.2623,NA,NA,NA,NA
"102","WBGene00051858",0,0,0.175019841255569,0,0,0,"CRE00830","CRE00830","Secreted protein","","C52B9.10 | WBGene00016869",69.3878,"CBG14384 | WBGene00034905",71.4286,"CBN02553 | WBGene00141278",73.4694,NA,NA
"103","WBGene00051863",0,0,0,0,0,0.188876774841468,"Cre-srv-6","CRE00833","CRE-SRV-6 protein","7TM GPCR, serpentine receptor class v (Srv)","srv-6 | WBGene00005717",74.0602,"Cbr-srv-6 | WBGene00034901",83.4586,"Cbn-srv-6 | WBGene00160547",53.0075,NA,NA
"104","WBGene00051865",0,0,0.0875099206277844,0,0.100284698732655,0.0944383874207342,"Cre-srv-5","CRE00835","CRE-SRV-5 protein","7TM GPCR, serpentine receptor class v (Srv)","srv-5 | WBGene00005716",88.1306,"Cbr-srv-5 | WBGene00034899",54.5994,"Cbn-srv-5 | WBGene00145938",90.5044,NA,NA
"105","WBGene00077845",0,0,0,0,0.100284698732655,0.472191937103671,"CRE00839","CRE00839","","",NA,NA,NA,NA,NA,NA,"CJA19323 | WBGene00138527",62.5
"106","WBGene00051900",0.59965384566614,0,0.196897321412515,0,0.0250711746831639,0.0944383874207342,"CRE00853","CRE00853","CCHC-type domain-containing protein","",NA,NA,NA,NA,NA,NA,"CJA05578 | WBGene00124782",25.1592
"107","WBGene00051911",0,0,0,0,0,0.0236095968551835,"CRE00859","CRE00859","Nuclear receptor domain-containing protein","Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type, Nuclear hormone receptor-like domain superfamily","nhr-192 | WBGene00010180",36.7521,NA,NA,NA,NA,NA,NA
"108","WBGene00051942",0,0,0.175019841255569,0,0.100284698732655,0,"CRE00873","CRE00873","","","R11G1.11 | WBGene00304816",75.3846,"CBG14251 | WBGene00034815",80.7692,"CBN21167 | WBGene00159892",80.7692,NA,NA
"109","WBGene00051947",0,0,0.656324404708383,0,0,0.283315162262202,"CRE00875","CRE00875","","Sulfotransferase, Carbohydrate sulfotransferase Chst-1","C18B2.1 | WBGene00015952",63.3846,"CBG14246 | WBGene00034810",66.4615,"CBN32680 | WBGene00194688",73.8462,"CJA06327 | WBGene00125531",44.6154
"110","WBGene00051960",0.0309052366612549,0,0,0,0,0,"CRE00881","CRE00881","POU-specific domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"111","WBGene00051973",0,0,0.0437549603138922,0,0,0,"CRE00886","CRE00886","FBA_2 domain-containing protein","","comt-1 | WBGene00018741",42.0601,NA,NA,NA,NA,"Cjp-comt-1 | WBGene00120714",39.485
"112","WBGene00052018",0,0,0.437549603138922,0,0,0.0944383874207342,"CRE00912","CRE00912","","",NA,NA,NA,NA,NA,NA,NA,NA
"113","WBGene00077801",0,0,0,0,0,0.0944383874207342,"CRE00917","CRE00917","DUF2203 family protein","",NA,NA,"CBG27633 | WBGene00089047",34.4828,NA,NA,NA,NA
"114","WBGene00052038",0,0,0,0,0,0.0944383874207342,"CRE00921","CRE00921","Sorting nexin-25","",NA,NA,NA,NA,NA,NA,NA,NA
"115","WBGene00077853",0,0,0,0,0,0.0944383874207342,"CRE00927","CRE00927","","",NA,NA,"CBG27621 | WBGene00089035",32.7273,NA,NA,NA,NA
"116","WBGene00052073",0,0,0,0,0,0.0944383874207342,"CRE00930","CRE00930","","","T21D9.2 | WBGene00020645",39.3162,"CBG27618 | WBGene00089032",52.9915,"CBN05339 | WBGene00144064",64.1026,NA,NA
"117","WBGene00052102",0,0,0,0,0,0,"CRE00946","CRE00946","DUF4485 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"118","WBGene00052103",0,0,0,0,0,0,"CRE00947","CRE00947","","",NA,NA,NA,NA,"CBN13103 | WBGene00151828",21.6867,NA,NA
"119","WBGene00083512",0,0,0.262529761883353,0,0.100284698732655,0.33053435597257,"CRE00974","CRE00974","Major facilitator superfamily domain-containing protein 6","Protein of unknown function DUF2700","Y79H2A.12 | WBGene00043997",67.6301,"CBG18177 | WBGene00037642",85.5491,"CBN01272 | WBGene00139997",83.815,"CJA17622 | WBGene00136824",52.6012
"120","WBGene00063011",0.184508875589582,0,0.437549603138922,0,0,0.188876774841468,"Cre-faah-5","CRE00990","CRE-FAAH-5 protein","Amidase signature domain, Amidase signature (AS) superfamily","faah-5 | WBGene00013226",77.898,NA,NA,"Cbn-faah-5 | WBGene00152296",82.6893,NA,NA
"121","WBGene00063024",0.0922544377947908,0,0,0,0.501423493663277,0,"CRE00998","CRE00998","BTB domain-containing protein","","C18D11.7 | WBGene00044232",59.4512,"CBG13295 | WBGene00034074",67.3781,"CBN12085 | WBGene00150810",51.2195,NA,NA
"122","WBGene00063103",0,0,0,0,0,0,"CRE01042","CRE01042","Endo/exonuclease/phosphatase domain-containing protein","Endonuclease/exonuclease/phosphatase, Islet cell autoantigen Ica1, C-terminal, Endonuclease/exonuclease/phosphatase superfamily",NA,NA,"CBG16276 | WBGene00036271",16.2362,"CBN02238 | WBGene00140963",56.7036,NA,NA
"123","WBGene00083519",0.0770324555586503,0,0,0,0,0,"CRE01067","CRE01067","Protein phosphatase 1 regulatory subunit 1B","",NA,NA,NA,NA,NA,NA,NA,NA
